"IMAGE","FILE","ERROR"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/io/netty/netty-transport-native-epoll/main/lib/META-INF/native/libnetty_transport_native_epoll_aarch_64.so","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/io/netty/netty-transport-native-epoll/main/lib/META-INF/native/libnetty_transport_native_epoll_x86_64.so","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/io/netty/netty-transport-native-kqueue/main/lib/META-INF/native/libnetty_transport_native_kqueue_aarch_64.jnilib","rust cataloger: unable to read dependency information: unknown file format"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/io/netty/netty-transport-native-kqueue/main/lib/META-INF/native/libnetty_transport_native_kqueue_aarch_64.jnilib","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/io/netty/netty-transport-native-kqueue/main/lib/META-INF/native/libnetty_transport_native_kqueue_x86_64.jnilib","rust cataloger: unable to read dependency information: unknown file format"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/io/netty/netty-transport-native-kqueue/main/lib/META-INF/native/libnetty_transport_native_kqueue_x86_64.jnilib","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/apache/activemq/artemis/journal/main/lib/linux-i686/libartemis-native-32.so","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/apache/activemq/artemis/journal/main/lib/linux-x86_64/libartemis-native-64.so","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/wildfly/openssl/main/lib/linux-s390x/libwfssl.so","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/wildfly/openssl/main/lib/linux-x86_64/libwfssl.so","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/wildfly/openssl/main/lib/macosx-x86_64/libwfssl.dylib","rust cataloger: unable to read dependency information: unknown file format"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/wildfly/openssl/main/lib/macosx-x86_64/libwfssl.dylib","no package identified in executable file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/wildfly/openssl/main/lib/win-x86_64/wfssl.dll","unable to find PE name in file"
"silverpeas:latest","/opt/wildfly/modules/system/layers/base/org/wildfly/openssl/main/lib/win-x86_64/wfssl.dll","no package identified in executable file"
"silverpeas:latest","/root/.gradle/caches/jars-8/3ee55554fe89fc25eef815eb34a4257c/settings.jar","no package identified in archive"
"silverpeas:latest","/root/.gradle/caches/jars-8/64fed21ff7577ef0139d5a4fff8a50ae/dsl.jar","no package identified in archive"
"silverpeas:latest","/root/.gradle/caches/jars-8/c956cf655397bb059bdf18445e8eca3b/cp_proj.jar","no package identified in archive"
"silverpeas:latest","/root/.gradle/caches/jars-8/d3faa1eed306337c29c9bf82f7da3927/cp_settings.jar","no package identified in archive"
"silverpeas:latest","/root/.gradle/caches/jars-8/e2a74a7f85922d3b92a1c02cef812aa1/cp_dsl.jar","no package identified in archive"
"silverpeas:latest","/root/.gradle/caches/jars-8/f5edc4e24586d1e47d15f9e6e2a370fa/proj.jar","no package identified in archive"
"silverpeas:latest","/root/.gradle/native/12488b8bf47d2d4c9fbf2f6322a914ad602e24e48041cd04a747c6da556b65c4/linux-amd64/libnative-platform-file-events.so","no package identified in executable file"
"silverpeas:latest","/root/.gradle/native/49d0259a56938c7f99b2704e745ce422c4f750a7a20b539a32ccef96729676b1/linux-amd64-ncurses5/libnative-platform-curses.so","no package identified in executable file"
"silverpeas:latest","/root/.gradle/native/49d0259a56938c7f99b2704e745ce422c4f750a7a20b539a32ccef96729676b1/linux-amd64-ncurses6/libnative-platform-curses.so","no package identified in executable file"
"silverpeas:latest","/root/.gradle/native/49d0259a56938c7f99b2704e745ce422c4f750a7a20b539a32ccef96729676b1/linux-amd64/libnative-platform.so","no package identified in executable file"
"silverpeas:latest","/root/.gradle/native/jansi/1.18/linux64/libjansi.so","no package identified in executable file"
"silverpeas:latest","/root/.gradle/wrapper/dists/gradle-7.0-bin/2p9ebqfz6ilrfozi676ogco7n/gradle-7.0/lib/javax.inject-1.jar","no package identified in archive"
"silverpeas:latest","/usr/local/bin/as3compile","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/font2swf","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/jpeg2swf","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdf2json","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdf2swf","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdffonts","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdfimages","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdfinfo","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdftops","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/pdftotext","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/png2swf","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfbbox","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfc","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfcombine","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfdump","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfextract","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfrender","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/swfstrings","no package identified in executable file"
"silverpeas:latest","/usr/local/bin/wav2swf","no package identified in executable file"
