"IMAGE","FILE","TASK",ERROR"
"sourcemage:latest","/bin/[","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/base64","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/basename","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/cat","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/chcon","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/chgrp","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/chmod","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/chown","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/chroot","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/chvt","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/cksum","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/clrunimap","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/comm","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/cp","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/cpio","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/csplit","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/cut","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/date","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/dd","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/deallocvt","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/df","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/dir","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/dircolors","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/dirname","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/dmesg","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/du","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/dumpkeys","unknowns-labeler","no package identified in executable file"
"sourcemage:latest","/bin/echo","unknowns-labeler","no package identified in executable file"
