"IMAGE","FILE","TASK",ERROR"
"swift:latest","/usr/bin/clang-15","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/clangd","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/docc","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/lld","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/lldb","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/lldb-argdumper","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/lldb-server","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/llvm-ar","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/llvm-cov","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/llvm-profdata","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/plutil","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/repl_swift","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/sourcekit-lsp","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-build-sdk-interfaces","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-build-tool","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-demangle","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-driver","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-frontend","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-help","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-package","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/bin/swift-plugin-server","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.asan-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.dyndd-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.hwasan-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.hwasan_aliases-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.memprof-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.scudo-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.scudo_minimal-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.scudo_standalone-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.tsan-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.ubsan_minimal-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/clang/15.0.0/lib/linux/libclang_rt.ubsan_standalone-x86_64.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/libIndexStore.so.15git","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/libLTO.so.15git","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/liblldb.so.15.0.0git","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/libsourcekitdInProc.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/libswiftDemangle.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/swift/host/libSwiftBasicFormat.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/swift/host/libSwiftCompilerPluginMessageHandling.so","unknowns-labeler","no package identified in executable file"
"swift:latest","/usr/lib/swift/host/libSwiftDiagnostics.so","unknowns-labeler","no package identified in executable file"
