"IMAGE","FILE","TASK",ERROR"
"swipl:latest","/usr/lib/swipl/bin/x86_64-linux/swipl-ld","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/archive4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/bdb4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/cgi.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/crypt.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/crypto4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/double_metaphone.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/files.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/hashstream.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/http_stream.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/inclpr.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/isub.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/janus.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/json.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/libedit4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/libswipl.so.9.3.9","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/mallocinfo.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/md54pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/memfile.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/ntriples.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/odbc4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/pcre4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/pdt_console.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/porter_stem.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/process.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/prolog_stream.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/protobufs.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/rdf_db.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/readline4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/readutil.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/redis4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/rlimit.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/sched.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/sgml2pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/sha4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/snowball.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/socket.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/ssl4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/streaminfo.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/sweep-module.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/syslog.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/table.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/tex.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/time.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/tipc.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/turtle.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/uid.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/unicode4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/unix.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/uri.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/uuid.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/websocket.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/yaml4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/lib/swipl/lib/x86_64-linux/zlib4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/share/swi-prolog/pack/hdt/lib/x86_64-linux/hdt4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/share/swi-prolog/pack/prosqlite/lib/x86_64-linux/prosqlite.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/share/swi-prolog/pack/rocksdb/lib/x86_64-linux/rocksdb4pl.so","unknowns-labeler","no package identified in executable file"
"swipl:latest","/usr/share/swi-prolog/pack/rserve_client/lib/x86_64-linux/rserve.so","unknowns-labeler","no package identified in executable file"
