"IMAGE","FILE","TASK",ERROR"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_accept.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_bodyaccess.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_dynamic.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_header.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_saintmode.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_str.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_tcp.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_var.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_vsthrottle.so","unknowns-labeler","no package identified in executable file"
"varnish:latest","/usr/lib/varnish/vmods/libvmod_xkey.so","unknowns-labeler","no package identified in executable file"
