"FILE","ERROR"
"/opt/ibm/java/jre/bin/tnameserv","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libj9fips.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9vrb29.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/keytool","no package identified in executable file"
"/opt/ibm/java/jre/bin/rmid","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjaas.so","no package identified in executable file"
"/opt/ibm/java/jre/fips140-3/lib/icc/libjgsk8iccs_64.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libomrsig.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libunpack.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libjclse29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9gcchk29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libdt_socket.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjsig.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libcuda4j29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libawt_headless.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9gc29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjpeg.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/icc/libjgsk8iccs_64.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libfontmanager.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9jvmti29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libawt_xawt.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libhcapiplugin.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/ext/traceformat.jar","no package identified in archive"
"/opt/ibm/java/jre/fips140-3/lib/icc/libjgskit.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjsound.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9gcchk29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjdwp.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/jexec","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libnpjp2.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9jit29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9vm29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libinstrument.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/jextract","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9jit29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libjvm.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9shr29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9shr29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjgskit.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/javaws","no package identified in executable file"
"/opt/ibm/java/jre/bin/pack200","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjava_crw_demo.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/klist","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libnpt.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9vm29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/classic/libjvm.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/j9vm/libjvm.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libhcmqtt.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libmlib_image.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libdbgwrapper80.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libjclse29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libhprof.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjsoundalsa.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9dmp29.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/ikeyman","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9zlib29.so","no package identified in executable file"
"/usr/bin/dumb-init","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9prt29.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/classic/libjvm.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjsdt.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/icc/N/icc/icclib/libicclib085.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libnative_tracker.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjpkcs11.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libjsig.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libzip.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libdeploy.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libhealthcenter.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libawt.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/unpack200","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9prt29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libomrsig.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/default/libj9gc29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9hookable29.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/ext/dtfj.jar","no package identified in archive"
"/opt/ibm/java/jre/bin/policytool","no package identified in executable file"
"/opt/ibm/java/jre/bin/jdmpview","no package identified in executable file"
"/opt/ibm/java/jre/lib/icc/C/icc/icclib/libicclib084.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libsctp.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/javaw","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libjava.so","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/libmanagement.so","no package identified in executable file"
"/opt/ibm/java/jre/bin/rmiregistry","no package identified in executable file"
"/opt/ibm/java/jre/lib/amd64/compressedrefs/libj9thr29.so","no package identified in executable file"
